ID,literal,Meanings
8500,沕,['deep']
8501,沗,[]
8502,沘,['name of a river']
8503,沜,[]
8504,沟,"['ditch', 'drain', 'narrow waterway']"
8505,沰,['to let drop']
8506,沲,['float']
8507,沴,"['foul and poisonous in confusion', 'out of harmony']"
8508,泂,"['clear and deep (of water)', 'wide']"
8509,泆,"['licentious', 'libertine', 'dissipate']"
8510,泍,[]
8511,泏,[]
8512,泐,"['to write', 'to indite']"
8513,泑,"['the vitreous glaze on china, porcelain, etc.']"
8514,泒,['river in Hubei province']
8515,泔,"['water from washing rice', 'to boil thick, as gruel', 'rinse & comb hair']"
8516,泖,"['still waters', 'river in Jiangsu']"
8517,泚,"['clear', 'bright and brilliant', 'sweat']"
8518,泜,['river in Hebei province']
8519,泠,"['nice and cool', 'mild and comfortable']"
8520,泧,[]
8521,泩,[]
8522,泫,"['weep', 'cry', 'shine', 'glisten']"
8523,泬,[]
8524,泮,"['Zhou dynasty school', 'disperse', 'fall apart']"
8525,泲,['kind of white wine']
8526,泴,[]
8527,洄,"['back-water', 'eddy', 'whirlpool', 'flowing water']"
8528,洇,[]
8529,洊,['flowing water']
8530,洎,"['until', 'till', 'soup', 'to soak']"
8531,洏,"['tears', 'tearful']"
8532,洑,"['whirlpool', 'undercurrent']"
8533,洓,[]
8534,洚,[]
8535,洦,[]
8536,洧,['name of a river in Honan']
8537,洨,['river in Hebei province']
8538,汧,"['name of a river in Shandong', 'marsh', 'float']"
8539,洮,"['cleanse', 'river in Gansu province']"
8540,洯,[]
8541,洱,['lake in Yunnan']
8542,洹,['river in Henan province']
8543,洼,"['hollow', 'pit', 'depression', 'swamp']"
8544,洿,"['stagnant water', 'impure', 'filthy']"
8545,浗,[]
8546,浞,[]
8547,浟,[]
8548,浡,"['burst forth', 'rise', 'vigorous']"
8549,浥,"['moist', 'wet', 'dampen']"
8550,浧,[]
8551,浯,[]
8552,浰,[]
8553,浼,"['to request', 'to ask a favour of']"
8554,涂,"['surname', 'name of certain rivers']"
8555,涇,['name of a river']
8556,涑,['river in Shansi province']
8557,涒,['meander']
8558,涔,"['river in Shaanxi', 'murky torrent']"
8559,涖,"['river in Hebei province', 'creek']"
8560,涗,[]
8561,涘,"['river bank', ""water's edge""]"
8562,涪,['river in Sichuan province']
8563,涬,['watery expanse']
8564,涴,['daub']
8565,涷,['rainstorm']
8566,涹,[]
8567,涽,[]
8568,涿,"['drip', 'dribble', 'trickle']"
8569,淄,['river in Shandong province']
8570,淈,[]
8571,淊,[]
8572,淎,[]
8573,淏,[]
8574,淖,"['slush', 'mud']"
8575,淛,[]
8576,淝,['name of an affluent of the Poyang Lake']
8577,淟,"['turbid', 'muddy']"
8578,淠,[]
8579,淢,['ditch']
8580,淥,['strain']
8581,淩,"['pass over', 'cross', 'traverse']"
8582,淯,[]
8583,淰,"['fish', 'still']"
8584,淴,[]
8585,淶,"['river in Hebei province', 'creek']"
8586,淼,['wide expanse of water']
8587,渀,[]
8588,渄,[]
8589,渞,[]
8590,渢,['pleasant sound']
8591,渧,"['to drop', 'as liquids', 'drop']"
8592,渲,['add repeated washes of color']
8593,渶,[]
8594,渹,[]
8595,渻,[]
8596,渼,['ripples']
8597,湄,"[""water's edge"", 'shore', 'bank']"
8598,湅,['boil silk']
8599,湈,[]
8600,湉,[]
8601,湋,['river in Shanxi province']
8602,湏,['wash face']
8603,湑,"['to strain spirits', 'dregs', 'lees', 'river in Guangxi', 'abundant', 'bright']"
8604,湒,[]
8605,湓,['an affluent of the River Yangtze near Kiukiang']
8606,湔,"['wash', 'cleanse', 'purge']"
8607,湗,[]
8608,湜,"['transparent', 'clear']"
8609,湝,['flow']
8610,湞,['river in Guangdong province']
8611,湢,"['bathroom', 'neat', 'orderly']"
8612,湣,"['mixed', 'confused', 'pity']"
8613,湨,[]
8614,湳,[]
8615,湻,"['pure', 'unmixed', 'genuine', 'honest']"
8616,湽,[]
8617,溍,[]
8618,溓,[]
8619,溙,[]
8620,溠,['river in Hubei province']
8621,溧,['river in Anhui and Jiangsu province']
8622,溭,[]
8623,溮,['river in Henan province']
8624,溱,['river in Henan']
8625,溳,[]
8626,溻,['wet']
8627,溿,[]
8628,滀,[]
8629,滁,['district in Anhui province']
8630,滃,"['swelling', 'rising', 'dispersing']"
8631,滇,['Yunnan province']
8632,滈,[]
8633,滊,"['vapour', 'steam']"
8634,滍,[]
8635,滎,"['county in Henan', 'rising and dash']"
8636,滏,[]
8637,滫,['water in which rice has been boiled']
8638,滭,[]
8639,滮,['flow']
8640,滹,['the bank of a steam']
8641,滻,[]
8642,滽,[]
8643,漄,[]
8644,漈,"['shore', 'waterside']"
8645,漊,['river in Hubei province']
8646,漌,[]
8647,漍,[]
8648,漖,[]
8649,漘,['bank']
8650,漚,"['soak', 'steep', 'sodden', 'soaked']"
8651,漛,[]
8652,漦,"['saliva', 'spittle', 'flowing downstream']"
8653,漩,"['eddy', 'whirlpool']"
8654,漪,"['ripples on water', 'swirling']"
8655,漯,['river in northern Shandong']
8656,漰,['roar']
8657,漳,['name of a river in Henan']
8658,漶,['indecipherable']
8659,漻,[]
8660,漼,['having the appearance of depth']
8661,漭,"['vast', 'expansive']"
8662,潏,['foreshore reclaimed from river']
8663,潑,"['pour', 'splash', 'water', 'sprinkle', 'violent', 'malignant']"
8664,潒,[]
8665,潓,[]
8666,潗,[]
8667,潙,['river in Shanxi']
8668,潚,"['gay', 'deep']"
8669,潝,['agree']
8670,潞,['river in northern china']
8671,潡,[]
8672,潢,"['expanse of water', 'lake', 'pond']"
8673,潨,"['gather', 'flow into (water)', 'sound of waters flowing together']"
8674,潬,"['rapid', 'sand-bank', 'foreshore']"
8675,潽,[]
8676,潾,['clear water']
8677,澃,[]
8678,澇,"['inundate', 'flood', 'torrent']"
8679,澈,"['thoroughly', 'completely', 'become clear']"
8680,澋,[]
8681,澌,"['to exhaust', 'to drain dry']"
8682,澍,"['timely rain', 'life-giving rain']"
8683,澐,['billows']
8684,澒,['vast']
8685,澓,[]
8686,澔,['radiance of gems']
8687,澖,[]
8688,澚,[]
8689,澟,[]
8690,澠,['name of a river in Shandong']
8691,澥,"['blocked stream', 'gulf']"
8692,澦,['place in Sichuan']
8693,澧,['river in northern Hunan province']
8694,澨,"['shore', 'river in Hubei']"
8695,澮,"['irrigation ditch', 'trench', 'river']"
8696,澯,[]
8697,澰,['overflowing']
8698,澵,[]
8699,澶,"['still water', 'placid', 'tranquil']"
8700,澼,"['bleach', 'wash', 'clean']"
8701,濅,[]
8702,濇,"['astringent', 'harsh', 'rough', 'uneven']"
8703,濈,['many']
8704,濊,"['vast', 'expansive', 'deep', 'dirty']"
8705,濚,[]
8706,濞,[]
8707,濨,[]
8708,濩,"['pour down', 'cascade down', 'look']"
8709,濰,['county in Shandong province']
8710,濵,"['bank', 'brink', 'shore', 'beach']"
8711,濹,[]
8712,濼,['river in Shandong province']
8713,濽,[]
8714,瀀,[]
8715,瀅,"['clear', 'pure water', 'lucid', 'glossy']"
8716,瀆,"['ditch', 'sluice', 'gutter', 'drain', 'blaspheme', 'pollute']"
8717,瀇,[]
8718,瀍,['river in Henan province']
8719,瀗,[]
8720,瀠,"['tiny stream', 'swirl around', 'eddy']"
8721,瀣,"['sea mist', 'vapor']"
8722,瀯,[]
8723,瀴,[]
8724,瀷,[]
8725,瀹,"['to boil', 'to wash', 'to cleanse', 'to soak']"
8726,瀼,"['river in Henan province', 'flowing']"
8727,灃,['river in Shaanxi province']
8728,灄,['river in Hubei province']
8729,灈,[]
8730,灉,['river in Shandong province']
8731,灊,[]
8732,灋,['law']
8733,灔,"['waves', 'billows']"
8734,灕,['short name for Guangxi province']
8735,灝,"['vast', 'large', 'grand', 'expansive']"
8736,灞,['river in Shaanxi province']
8737,灎,"['movement of water', 'overflowing', 'billowing', 'wavy']"
8738,灤,['river and county in Hebei province']
8739,灥,[]
8740,灬,"['fire', 'fire radical (no. 86)']"
8741,灮,[]
8742,灵,"['spirit', 'soul', 'spiritual world']"
8743,灶,"['kitchen range', 'cooking stove']"
8744,灾,"['calamity', 'disaster', 'catastrophe']"
8745,炁,"['breath', 'air', 'steam', 'gas', 'weather', 'used in Taoist charms']"
8746,炅,['brilliance']
8747,炆,[]
8748,炔,['acetylene']
8749,炕,['the brick-bed in northern China']
8750,炖,[]
8751,炗,[]
8752,炘,"['brilliant', 'shining', 'bright']"
8753,炛,[]
8754,炤,"['illumine', 'light up', 'reflect']"
8755,炫,"['shine', 'glitter', 'show off', 'flaunt']"
8756,炰,"['roast', 'broil', 'bake']"
8757,炱,['soot']
8758,炴,[]
8759,炷,"['candle wick', 'lamp wick', 'stick of']"
8760,烊,"['to smelt', 'to melt']"
8761,烑,[]
8762,烓,['stove']
8763,烔,['heat']
8764,烕,"['to destroy', 'to exterminate', 'to extinguish']"
8765,烖,"['calamities from Heaven, as floods, famines, pestilence, etc.', 'misery']"
8766,烘,"['bake', 'roast', 'grill', 'dry by fire']"
8767,烜,"['light of the sun', 'to dry in the sun']"
8768,烤,"['bake', 'roast', 'toast', 'cook']"
8769,烺,['(said of fire) bright']
8770,焃,[]
8771,焄,"['rising flames', 'rising fumes', 'aroma']"
8772,焅,[]
8773,焆,[]
8774,焇,[]
8775,焋,[]
8776,焌,['to light']
8777,焏,[]
8778,焞,['dim']
8779,焠,"['anneal', 'temper', 'burn']"
8780,焫,[]
8781,焭,[]
8782,焯,[]
8783,焰,"['flame', 'blaze', 'glowing', 'blazing']"
8784,焱,"['flames', 'blaze']"
8785,焸,[]
8786,煁,['hearth']
8787,煅,"['forge metal', ""perfect one's skill""]"
8788,煆,['raging fire']
8789,煇,"['weld', 'solder']"
8790,煊,['warm']
8791,煋,[]
8792,煐,[]
8793,煒,"['brilliant red', 'glowing']"
8794,煗,[]
8795,煚,[]
8796,煜,"['bright', 'shining', 'brilliant']"
8797,煞,"['malignant deity', 'baleful', 'noxious', 'strike dead']"
8798,煠,"['to fry in fat or oil', 'to scald', 'to seethe', 'to boil']"
8799,煨,"['to stew', 'simmer', 'banked fire']"
8800,煹,[]
8801,熀,"['the blaze of fire', 'dazzling']"
8802,熅,"['smooth out', 'iron out', 'sultriness']"
8803,熇,['bake']
8804,熌,[]
8805,熒,"['shine', 'shimmer', 'shining', 'dazzling']"
8806,熚,[]
8807,熛,['blaze']
8808,熠,['bright and sparkling']
8809,熢,[]
8810,熯,['by fire']
8811,熰,"['great drought', 'heat']"
8812,熲,['bright']
8813,熳,[]
8814,熺,"['dim light', 'glimmer', 'warm']"
8815,熿,[]
8816,燀,"['to make a fire', 'blaze']"
8817,燁,"['bright', 'glorious', 'splendid', 'flame']"
8818,燄,"['flame', 'blazing', 'brilliant']"
8819,燋,"['scorch', 'burn', 'scald', 'torch', 'bonfire']"
8820,燌,[]
8821,燓,[]
8822,燖,['re-heat food']
8823,燙,"['scald', 'heat', 'wash', 'iron clothes']"
8824,燚,[]
8825,燜,"['simmer', 'cook over slow fire']"
8826,燸,[]
8827,燾,"['shine', 'illuminate', 'cover', 'envelop']"
8828,爀,[]
8829,爇,['burn']
8830,爈,[]
8831,爉,[]
8832,爓,"['flame', 'brilliant', 'blazing']"
8833,爗,[]
8834,爚,"['bright', 'fiery']"
8835,爝,[]
8836,爟,['fire']
8837,爤,[]
8838,爫,['claw radical (no. 87)']
8839,爯,[]
8840,爴,[]
8841,爸,"['father', 'papa']"
8842,爹,"['father', 'daddy']"
8843,牁,"['mooring stake', 'painter', 'mooring']"
8844,牂,"['female sheep', 'ewe']"
8845,牃,[]
8846,牅,[]
8847,牎,[]
8848,牏,['privy hole']
8849,牐,"['sluice', 'flood gate', 'canal lock']"
8850,牓,"['tablet', 'public notice', 'register']"
8851,牕,['window']
8852,牖,"['window', 'lead enlightenment']"
8853,牚,[]
8854,牜,"['ox', 'cow', 'cow radical (no. 93)']"
8855,牞,[]
8856,牠,['it']
8857,牣,"['fill', 'stuff', 'full']"
8858,牨,[]
8859,牫,[]
8860,牮,[]
8861,牯,"['cow', 'bull', 'ox']"
8862,牱,[]
8863,牷,"['cow or ox of one color', 'perfect']"
8864,牸,"['the female of certain animals', 'to bring forth young (of animals)']"
8865,牻,[]
8866,牼,['man']
8867,牿,[]
8868,犄,['animal horns']
8869,犉,['ox with yellow hair and a black head']
8870,犍,"['bullock', 'fabulous monster']"
8871,犎,"['the zebu', 'humped-ox']"
8872,犓,[]
8873,犛,"['black ox', 'yak']"
8874,犨,"['panting of cow', 'grunting of ox']"
8875,犭,"['dog', 'dog radical (no. 94)']"
8876,犮,[]
8877,犱,[]
8878,犴,"['wild dog (not very large)', 'lock-up']"
8879,犾,[]
8880,狁,['tribe of Scythian nomads']
8881,狇,[]
8882,狉,['fox-cub']
8883,狌,[]
8884,狕,[]
8885,狖,[]
8886,狘,['jump']
8887,狟,[]
8888,狥,['follow']
8889,狳,[]
8890,狴,"['kind of tapir', 'fierce beast depicted on the door of prisons']"
8891,狺,['the snarling of dogs']
8892,狻,['fabulous beast']
8893,狾,[]
8894,猂,[]
8895,猄,[]
8896,猅,[]
8897,猇,"['the roar of a tiger', 'to intimidate', 'to scare']"
8898,猋,"['wind', 'storm', 'gale', 'dog moving']"
8899,猍,[]
8900,猒,[]
8901,猓,['monkey']
8902,猘,"['fierce dog', 'furious', 'frenzied']"
8903,猙,"['fierce-looking', 'ferocious']"
8904,猞,[]
8905,猢,['kind of monkey found in W. China']
8906,猤,[]
8907,猧,[]
8908,猨,['ape']
8909,猬,"['vulgar', 'wanton', 'low', 'many', 'varied']"
8910,猱,['monkey with yellow hair']
8911,猲,"['smoke or flames from fire', 'to roast']"
8912,猵,[]
8913,猺,"['jackal', 'name of a tribe']"
8914,猻,['monkey']
8915,猽,[]
8916,獃,"['dull', 'dull-minded', 'simple', 'stupid']"
8917,獍,[]
8918,獐,"['roebuck', 'hornless river deer']"
8919,獒,"['mastiff', 'large fierce dog']"
8920,獖,[]
8921,獘,['collapse']
8922,獝,['devil']
8923,獞,"['name of a variety of dog', 'wild tribes in South China']"
8924,獟,[]
8925,獠,['to hunt at night by torches']
8926,獦,[]
8927,獧,"['rash', 'honest and straightforward']"
8928,獩,[]
8929,獫,['dog']
8930,獬,['fabulous monster']
8931,獮,"['hunt', 'autumn hunting', 'to capture with a fine net']"
8932,獯,['tribe of Scythians which invaded China during the Hsia dynasty']
8933,獱,['kind of otter']
8934,獷,"['fierce', 'rude', 'uncivilized']"
8935,獹,['hound']
8936,獼,['macacus monkey']
8937,玀,"['pig', 'Holo aboriginal tribe']"
8938,玁,['dog with a long snout or muzzle']
8939,玃,['large ape found in W. China']
8940,玅,"['mysterious', 'subtle', 'exquisite']"
8941,玆,"['now', 'here', 'this', 'time', 'year']"
8942,玎,"['jingling', 'tinkling']"
8943,玐,[]
8944,玓,['pearly']
8945,玕,['inferior variety of gem']
8946,玗,['1/2 pr stone']
8947,玘,['court-dress jewels']
8948,玜,[]
8949,玞,['inferior agate']
8950,玟,"['streaks in jade', 'gem']"
8951,玠,['large jade tablet used by official']
8952,玢,[]
8953,玥,"['mysterious gem', 'pearl']"
8954,玦,['broken piece of jade']
8955,玪,[]
8956,玫,['rose']
8957,玭,[]
8958,玵,[]
8959,玷,"['flaw in gem', 'flaw in character']"
8960,玹,[]
8961,玼,"['beautiful color of gem', 'flaw in gem']"
8962,玽,[]
8963,玿,[]
8964,珅,[]
8965,珆,[]
8966,珉,['stone resembling jade']
8967,珋,[]
8968,珌,['ornament']
8969,珏,['two pieces of jade joined together']
8970,珒,[]
8971,珓,['two hemispherical objects']
8972,珖,['karat']
8973,珙,"['precious stone', 'Xian in Sichuan']"
8974,珝,[]
8975,珡,[]
8976,珣,['name of a kind of jade']
8977,珦,['kind of jade']
8978,珧,['mother-of-pearl']
8979,珩,['the top gem of the pendants']
8980,珴,[]
8981,珵,[]
8982,珷,['1/2 pr st']
8983,珹,"['type of jade', 'pearl']"
8984,珺,['beautiful jade']
8985,珻,[]
8986,珽,['jade tablet']
8987,珿,[]
8988,琀,['gems of pearls formerly put into the mouth of a corpse']
8989,琁,"['beautiful jade', 'star']"
8990,琄,[]
8991,琇,['coarse variety of jasper or jade']
8992,琊,['(arch.) place in eastern Shandong']
8993,琑,[]
8994,琚,[]
8995,琛,"['treasure', 'valuables']"
8996,琤,"['jade of jade being', 'tinkle']"
8997,琦,"['gem', 'precious stone', 'jade']"
8998,琨,"['beautiful jade', 'precious stones']"
8999,琩,[]
9000,琪,['type of jade']
9001,琫,['ornament']
9002,琬,"['the virtue of a gentleman', 'jade']"
9003,琭,['jade like stone']
9004,琮,['octagonal piece of jade with hole in middle']
9005,琯,['jade tube used as an instrument']
9006,琰,"['jewel', 'gem', 'glitter of gems']"
9007,琱,"['engrave', 'inlay', 'carve', 'exhaust']"
9008,琹,[]
9009,瑀,"['stone resembling jade', 'agate']"
9010,瑃,[]
9011,瑄,['ornamental piece of jade several']
9012,瑆,[]
9013,瑇,['tortoise shell']
9014,瑋,"['type of jade', 'rare', 'valuable']"
9015,瑍,[]
9016,瑑,"['carve', 'engrave', 'cut out', 'sculpt']"
9017,瑒,[]
9018,瑗,['large ring of fine jade']
9019,瑝,[]
9020,瑢,[]
9021,瑦,[]
9022,瑧,[]
9023,瑨,['jade look alike stone']
9024,瑫,[]
9025,瑭,['kind of jade']
9026,瑮,[]
9027,瑱,"['gem used as ear plug', 'jade earring']"
9028,瑲,['tinkling sound tinkling of pendant gems']
9029,璀,"['lustre of gems', 'glitter', 'shine']"
9030,璁,[]
9031,璅,['gem']
9032,璆,"['beautiful jade', 'tinkle']"
9033,璇,"['beautiful jade', 'star']"
9034,璉,['vessel used hold grain offerings']
9035,璏,[]
9036,璐,['beautiful variety of jade']
9037,璑,[]
9038,璒,[]
9039,璘,['luster of jade']
9040,璙,[]
9041,璚,['splendid']
9042,璜,['jade ornament semicircular in shape']
9043,璟,['luster of gem']
9044,璠,['piece of precious jade']
9045,璡,['jade look alike stone']
9046,璣,['pearl that is not quite round']
9047,璦,['fine quality jade']
9048,璨,"['gems', 'luster of gems', 'lustrous']"
9049,璩,"['jade ring', 'earrings', 'surname']"
9050,璪,['pearl pendants on coronet']
9051,璫,"['pendant ornaments', 'earrings']"
9052,璮,[]
9053,璯,[]
9054,璱,[]
9055,璲,['pendant girdle ornament']
9056,璵,['beautiful jade']
9057,璹,[]
9058,璻,[]
9059,璿,['fine jade']
9060,瓈,['glass']
9061,瓉,[]
9062,瓌,"['extraordinary', 'fabulous']"
9063,瓐,[]
9064,瓓,[]
9065,瓘,['jade']
9066,瓚,['ceremonial libation cup']
9067,瓛,['sceptre']
9068,瓞,['young melons just forming']
9069,瓟,['the bottle-gourd']
9070,瓤,"['flesh', 'core', 'pulp', 'pith']"
9071,瓨,[]
9072,瓪,[]
9073,瓫,[]
9074,瓯,"['bowl', 'cup', 'small tray']"
9075,瓴,"['concave channels of tiling', 'long-necked jar']"
9076,瓺,[]
9077,瓻,['jar']
9078,瓼,[]
9079,瓿,"['jar', 'pot']"
9080,甆,[]
9081,甒,['jar']
9082,甖,"['pot', 'pitcher', 'small-mouthed earthenware pot']"
9083,甗,['earthenware vessel in two parts']
9084,甠,[]
9085,甡,"['abundant', 'numerous', 'crowd']"
9086,甤,"['drooping leaves', 'fringe soft', 'delicate']"
9087,甧,[]
9088,甩,"['throw away', 'discard']"
9089,甪,[]
9090,甯,['peaceful']
9091,甶,[]
9092,甹,[]
9093,甽,"['drain between fields', 'irrigation']"
9094,甾,"['ground that has been under cultivation for one year', 'evil', 'calamity']"
9095,甿,['farming population']
9096,畀,['to give']
9097,畃,[]
9098,畇,['land']
9099,畈,[]
9100,畎,"['drain between fields', 'irrigation']"
9101,畐,"['to fill', 'roll of cloth']"
9102,畒,"['Chinese land measure', 'fields']"
9103,畗,[]
9104,畞,[]
9105,畟,['plough']
9106,畡,[]
9107,畯,"['rustic', 'crude']"
9108,畱,"['to detain', 'to entertain', 'to keep', 'to put by']"
9109,畹,[]
9110,畺,"['boundary', 'border']"
9111,畻,[]
9112,畼,[]
9113,畽,['ground']
9114,畾,['fields divided by dikes']
9115,疁,[]
9116,疅,[]
9117,疐,"['fall', 'stumble', 'falter', 'hindered']"
9118,疒,"['trailing sickness', 'sick radical (no. 104)']"
9119,疓,[]
9120,疕,['head sores']
9121,疙,"['pimple', 'sore', 'boil', 'wart', 'pustule']"
9122,疜,[]
9123,疢,"['aching of limbs', 'muscular pains']"
9124,疤,"['scar', 'cicatrix', 'birth-mark']"
9125,疴,"['illness', 'sickness', 'disease', 'pain']"
9126,疺,[]
9127,疿,"['prickly heat', 'rash']"
9128,痀,"['crouch', 'hunchback']"
9129,痁,['chronic malaria']
9130,痄,['scrofulous swellings and sores']
9131,痆,[]
9132,痌,"['ache', 'be in pain', 'painful']"
9133,痎,[]
9134,痏,"['bruise', 'contusion']"
9135,痗,['ill']
9136,痜,['scabby bald head']
9137,痟,[]
9138,痠,"['aching of limbs', 'muscular pains']"
9139,痡,"['disease', 'ailment']"
9140,痤,['swelling of the lymph glands']
9141,痧,"['cholera', 'colic']"
9142,痬,[]
9143,痮,"['swelled belly', 'dropsical', 'to swell', 'inflated']"
9144,痯,['sick']
9145,痱,"['heat rash', 'prickly heat', 'ulcers']"
9146,痹,"['paralysis', 'numbness']"
9147,瘀,"['hematoma', 'contusion', 'extravasated']"
9148,瘂,['dumb']
9149,瘃,['sores from cold']
9150,瘄,[]
9151,瘇,[]
9152,瘈,"['prolonged fever', 'chronic malaria']"
9153,瘊,"['warts', 'pimples']"
9154,瘌,"['severe', 'poisonous', 'dangerous', 'itch and other skin diseases']"
9155,瘏,['ill']
9156,瘒,[]
9157,瘓,"['paralysis', 'numbness of limbs']"
9158,瘕,"['asthma', 'disease of the bowels']"
9159,瘖,"['dumb', 'mute', 'unable speak']"
9160,瘙,['itch']
9161,瘛,[]
9162,瘜,['polypus']
9163,瘝,"['illness', 'pain', 'neglect', 'useless']"
9164,瘞,"['bury', 'inter']"
9165,瘣,[]
9166,瘥,"['to recover from any disease', 'an epidemic']"
9167,瘦,"['thin', 'emaciated', 'lean', 'meager']"
9168,瘩,['pimples']
9169,瘭,['whitlow']
9170,瘲,"['spasms or convulsions in young children', 'caused by indigestion']"
9171,瘳,"['to be healed', 'to reform']"
9172,瘵,['wasting disease']
9173,瘸,"['lameness', 'paralysis of hands', 'leg']"
9174,瘹,[]
9175,瘺,"['anal fistula', 'tumor', 'sore']"
9176,瘼,"['sickness', 'distress']"
9177,癊,['disease of the heart']
9178,癀,['jaundice']
9179,癁,[]
9180,癃,"['weakness', 'infirmity', 'retention of urine']"
9181,癄,[]
9182,癅,[]
9183,癉,"['to hate bitterly', 'drought', 'dry']"
9184,癋,[]
9185,癕,['loss of the sense of smell']
9186,癙,['ill']
9187,癟,"['shrivelled up', 'dried up', 'vexed']"
9188,癤,"['pimple', 'sore', 'boil']"
9189,癥,['obstruction of bowels']
9190,癭,"['swelling', 'goitre']"
9191,癮,"['rash', 'addiction', 'craving', 'habit']"
9192,癯,"['thin', 'emaciated', 'worn', 'tired']"
9193,癱,"['paralysis', 'palsy', 'numbness']"
9194,癴,[]
9195,皁,"['black', 'police runners (from the black clothes formerly worn by them)']"
9196,皅,[]
9197,皌,[]
9198,皍,[]
9199,皕,[]
9200,皛,[]
9201,皜,"['white', 'bright', 'clear', 'pure']"
9202,皝,"['luminous', 'bright hoary', 'white']"
9203,皟,[]
9204,皠,[]
9205,皢,[]
9206,皣,[]
9207,皤,"['white', 'grey', 'corpulent']"
9208,皥,"['bright', 'brilliant']"
9209,皦,"['bright white', 'bright', 'clear']"
9210,皧,[]
9211,皨,[]
9212,皪,[]
9213,皭,"['white', 'bright', 'clear', 'clean']"
9214,皽,['scurf']
9215,盁,[]
9216,盅,"['small cup', 'small bowl']"
9217,盉,[]
9218,盋,[]
9219,盌,"['bowl', 'basin', 'cup']"
9220,盎,"['cup', 'pot', 'bowl', 'abundant']"
9221,盔,"['helmet', 'bowl', 'basin']"
9222,盙,"['basket', 'square outside and round inside', 'used to hold boiled grain in State worship']"
9223,盠,[]
9224,盦,"['lid of a cauldron', 'Buddhist cloister']"
9225,盨,[]
9226,盬,"['salt pit', 'leisure', 'pot', 'drink']"
9227,盰,[]
9228,盱,"['wide open eyes', 'to gaze in astonishment']"
9229,盶,[]
9230,盹,"['to doze', 'to nap', 'to nod']"
9231,盼,"['look', 'gaze', 'expect', 'hope for']"
9232,眀,[]
9233,眆,['indistinct']
9234,眊,"['dim-sighted', 'eyes not seeing clearly']"
9235,眎,"['look at', 'inspect', 'observe', 'see']"
9236,眒,[]
9237,眔,[]
9238,眕,['restraint']
9239,眗,[]
9240,眙,['to gaze at']
9241,眚,"['disease of the eyes', 'crime', 'fault']"
9242,眜,[]
9243,眢,['eyes without brightness']
9244,眨,['wink']
9245,眭,[]
9246,眮,[]
9247,眯,['be blinded']
9248,眴,"['dazzled', 'signal with eyes']"
9249,眵,['eyes diseased and dim']
9250,眶,"['eye socket', 'rim of eye', 'eyelid']"
9251,眹,['pupil']
9252,眽,"['to gaze', 'to ogle', 'to look at']"
9253,眾,"['masses', 'people', 'multitude', 'crowd']"
9254,睂,[]
9255,睅,['big-eyed']
9256,睆,['bright']
9257,睊,"['see', 'look', 'gaze at', 'askance']"
9258,睍,"['look at with fear', 'over-cautious']"
9259,睎,"['to long for', 'to gaze at']"
9260,睏,"['be tired', 'sleepy']"
9261,睒,"['to glance at', 'to peep', 'glittering', 'to shine']"
9262,睖,['to stare straight ahead']
9263,睗,[]
9264,睜,"['open eyes', 'stare']"
9265,睞,"['squint at', 'sidelong glance']"
9266,睟,['clear-eyed']
9267,睠,"['to care for', 'love']"
9268,睢,"['gaze at', 'stare at', 'uninhibited', 'open eyes wide']"
9269,睤,[]
9270,睧,[]
9271,睪,['spy on']
9272,睬,"['notice', 'pay attention to']"
9273,睰,[]
9274,睲,[]
9275,睳,[]
9276,睴,[]
9277,睺,[]
9278,睽,['staring']
9279,瞀,"['to look at closely', 'nearsighted', 'dim', 'indistinct vision']"
9280,瞄,"['take aim at', 'look at']"
9281,瞌,"['doze off', 'sleepy']"
9282,瞍,"['blind', 'no pupil in the eye']"
9283,瞔,[]
9284,瞕,['cataract in the eye']
9285,瞖,"['cataract', 'film over the eye']"
9286,瞚,[]
9287,瞟,"['glare at', 'look askance at', 'squint', 'scrutinizing search']"
9288,瞢,"['obscured eyesight', 'to feel ashamed']"
9289,瞧,"['glance at', 'look at', 'see']"
9290,瞪,['stare at']
9291,瞮,[]
9292,瞯,"['to peep', 'to spy']"
9293,瞱,[]
9294,瞵,['to stare at']
9295,瞾,[]
9296,矃,[]
9297,矉,"['an angry glare', 'to open the eyes with anger']"
9298,矑,"['the pupil of the eye', 'to see']"
9299,矒,[]
9300,矕,"['see', 'witness', 'inspect']"
9301,矙,['view']
9302,矞,"['bore with awl', 'bright', 'charming']"
9303,矟,['8 ft lance']
9304,矠,[]
9305,矤,[]
9306,矦,[]
9307,矪,[]
9308,矬,['dwarf']
9309,矰,['arrow with attached silk cord']
9310,矱,"['measure', 'standard', 'criterion']"
9311,矴,['anchor']
9312,矸,"['rock', 'cliff']"
9313,矻,"['toil', 'slave away', 'busy']"
9314,砅,[]
9315,砆,['1/2 pr stone']
9316,砉,[]
9317,砍,"['hack', 'chop', 'cut', 'fell']"
9318,砎,[]
9319,砑,"['to grind', 'to calender', 'to polish', 'to roll with a stone roller']"
9320,砝,['balance weights']
9321,砡,[]
9322,砢,['pile of stones']
9323,砣,"['stone roller', 'heavy stone', 'weight', 'plummet']"
9324,砭,"['stone probe', 'pierce', 'counsel']"
9325,砮,['arrow-tip']
9326,砰,"['sound of crashing stones', 'bang!']"
9327,砵,['syllable']
9328,砷,['arsenic']
9329,硃,"['red mole', 'cinnabar']"
